date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2005-02-02 | 0.1
2011-09-14 | 390.57
2010-11-03 | 517.239
2020-06-26 | 998.808
2012-07-09 | 1242.2
2019-07-11 | 700.492
2019-06-25 | 416.636
2017-05-22 | 507.753
2012-12-23 | 1146.69
2013-12-02 | 1293.19
2016-12-12 | 1602.81
2017-04-22 | 737.216
2014-11-26 | 782.601
2015-07-13 | 583.763
2013-04-12 | 353.688
2009-11-06 | 1018.34
2010-11-19 | 396.835
2020-03-29 | 1558.83
2014-01-26 | 1800.22
2016-07-30 | 515.044
2014-03-16 | 632.64
2011-01-03 | 3
2011-01-03 | -1
2012-01-11 | 2147483648
900-12-12 | 12
2021-09-27| 431.63|2
2021-10-03
2020-02-29 | 42
2012-12-12 | | 55.1
2011-01-03 | 1
2021-09-15| 47
2001-09-15 | 47
2012-12-12 | 55..
2012-12-12 | .5.5
2012-12-12 | 5
2011-01-03 | 1.2
2012-01-11 | 1
2001-42-42
2009-01-01 | 2
2023-01-01 | 1
2023-001-01 | 1
2023-01-001 | 1
023-01-0001 | 1
123-01-0001 | 1
2009-1-002 | 2
